Penyakit,Perhatian_1,Perhatian_2,Perhatian_3,Perhatian_4
Reaksi Obat,menghentikan iritasi,konsultasikan ke rumah sakit terdekat,berhenti minum obat,menindaklanjuti
Malaria,Konsultasikan ke rumah sakit terdekat,hindari makanan berminyak,hindari makanan non-sayuran,mengusir nyamuk
Alergi,oleskan kalamin,tutupi area tersebut dengan perban,,gunakan es untuk mengompres rasa gatal
Hipotiroidisme,mengurangi stres,latihan,makan yang sehat,mendapatkan tidur yang cukup
Psoriasis,cuci tangan dengan air sabun hangat,hentikan pendarahan menggunakan tekanan,berkonsultasi dengan dokter,mandi garam
GERD,hindari makanan pedas berlemak,hindari berbaring setelah makan,menjaga berat badan yang sehat,latihan
Kolestasis kronis,mandi air dingin,obat anti gatal,berkonsultasi dengan dokter,makan yang sehat
hepatitis A,Konsultasikan ke rumah sakit terdekat,cuci tangan,hindari makanan pedas berlemak,pengobatan
Osteoartritis,parasetamol,konsultasikan ke rumah sakit terdekat,menindaklanjuti,mandi garam
(vertigo) Vertigo Posisi Paroymsal,berbaring,menghindari perubahan mendadak pada tubuh,hindari gerakan kepala yang tiba-tiba,santai
Hipoglikemia,berbaring miring,periksa pulsa,minum minuman manis,berkonsultasi dengan dokter
Jerawat,mandi dua kali,hindari makanan pedas berlemak,minum banyak air,hindari terlalu banyak produk
 Diabetes,memiliki pola makan seimbang,latihan,berkonsultasi dengan dokter,menindaklanjuti
Impetigo,rendam area yang terkena dalam air hangat,menggunakan antibiotik,hilangkan keropeng dengan kain kompres basah,berkonsultasi dengan dokter
 Hipertensi,meditasi,mandi garam,mengurangi stres,mendapatkan tidur yang cukup
Penyakit tukak lambung,hindari makanan pedas berlemak,mengonsumsi makanan probiotik,menghilangkan susu,batasi alkohol
Wasir dimorfik (tumpukan),hindari makanan pedas berlemak,konsumsi witch hazel,mandi air hangat dengan garam epsom,konsumsi jus alovera
Flu biasa,minum minuman kaya vitamin c,mengambil uap,hindari makanan dingin,mengendalikan demam
Cacar air, gunakan Mimba saat mandi,mengkonsumsi daun Mimba,mengambil vaksin,hindari tempat umum
Spondylosis serviks,gunakan bantal pemanas atau kompres dingin,latihan,minum obat pereda nyeri lainnya,berkonsultasi dengan dokter
Hipertiroidisme,makan yang sehat,pijat,gunakan lemon balm,menjalani pengobatan yodium radioaktif
Infeksi saluran kemih,minum banyak air,meningkatkan asupan vitamin c,minum jus cranberry,mengonsumsi probiotik
Pembuluh mekar,berbaring telentang dan angkat kaki tinggi-tinggi,menggunakan salep,menggunakan kompresi vena,jangan diam lama-lama
AIDS,hindari pemotongan terbuka,pakailah PPE jika memungkinkan,berkonsultasi dengan dokter,menindaklanjuti
Kelumpuhan (pendarahan otak),pijat,makan yang sehat,latihan,berkonsultasi dengan dokter
Penyakit tipus,makan sayuran berkalori tinggi,terapi antibiotik,berkonsultasi dengan dokter,pengobatan
Hepatitis B,konsultasikan ke rumah sakit terdekat,vaksinasi,makan yang sehat,pengobatan
Infeksi jamur,mandi dua kali,gunakan detol atau nimba pada air mandi,jaga agar area yang terinfeksi tetap kering,gunakan kain bersih
Hepatitis C,Konsultasikan ke rumah sakit terdekat,vaksinasi,makan yang sehat,pengobatan
Migrain,meditasi,mengurangi stres,gunakan kacamata poloroid di bawah sinar matahari,berkonsultasi dengan dokter
Asma bronkial,beralih ke pakaian longgar,tarik napas dalam-dalam,menjauh dari pemicu,mencari pertolongan
Hepatitis alkoholik,menghentikan konsumsi alkohol,berkonsultasi dengan dokter,pengobatan,menindaklanjuti
Penyakit kuning,minum banyak air,mengkonsumsi milk thistle,makan buah-buahan dan makanan berserat tinggi,pengobatan
Hepatitis E,menghentikan konsumsi alkohol,istirahat,berkonsultasi dengan dokter,pengobatan
demam berdarah,minum jus daun pepaya,hindari makanan pedas berlemak,mengusir nyamuk,tetap terhidrasi
Hepatitis D,berkonsultasi dengan dokter,pengobatan,makan yang sehat,menindaklanjuti
Serangan jantung,panggil ambulans,mengunyah atau menelan aspirin,tetap tenang,
Radang paru-paru,berkonsultasi dengan dokter,pengobatan,istirahat,menindaklanjuti
Radang sendi,latihan,gunakan terapi panas dan dingin,cobalah akupunktur,pijat
Gastroenteritis,berhenti makan makanan padat untuk sementara waktu,cobalah minum sedikit air,istirahat,kembali makan
TBC,menutupi mulut,berkonsultasi dengan dokter,pengobatan,istirahat
