Gejala,berat
gatal,1
ruam kulit,3
nodal_skin_erupsi,4
terus menerus_bersin,4
gemetaran,5
panas dingin,3
nyeri sendi,3
sakit perut,5
keasaman,3
bisul_di_lidah,4
pengecilan otot,3
muntah,5
pembakaran_kemih,6
bercak_buang air kecil,6
kelelahan,4
berat_penambahan,3
kecemasan,4
tangan_dan_kaki_dingin,5
suasana hati_ayunan,3
berat_penurunan,3
kegelisahan,5
kelesuan,2
patch_in_throat,6
kadar_gula_tidak teratur,5
batuk,4
demam tinggi,7
cekung_mata,3
sesak napas,4
berkeringat,3
dehidrasi,4
gangguan pencernaan,5
sakit kepala,3
kulit_kekuningan,3
urin_gelap,4
mual,5
kehilangan selera makan,4
rasa sakit_di belakang_mata_,4
sakit punggung,3
sembelit,4
sakit perut,4
diare,6
ringan_demam,5
kuning_urin,4
mata_menguning,4
kegagalan_hati_akut,6
kelebihan cairan,6
pembengkakan_perut_,7
pembengkakan_kelenjar getah bening,6
rasa tidak enak,6
penglihatan_kabur_dan_terdistorsi_,5
dahak,5
tenggorokan_iritasi,4
kemerahan_mata_,5
tekanan_sinus,4
pilek,5
penyumbatan,5
nyeri dada,7
kelemahan_di_anggota badan,7
detak_jantung_cepat,5
nyeri_selama_gerakan_usus,5
nyeri_di_anal_wilayah,6
bangku_berdarah,5
iritasi_di_anus,6
sakit leher,5
pusing,4
kram,4
memar,4
kegemukan,4
kaki_bengkak,5
pembuluh darah_bengkak,5
wajah_dan_mata_bengkak,5
pembesaran_tiroid,6
kuku rapuh,5
bengkak_ekstremitas,5
berlebihan_kelaparan,4
extra_marital_contacts,5
mengeringkan_dan_kesemutan_bibir,4
cadel_ucapan,4
sakit lutut,3
pinggul_sendi_nyeri,2
kelemahan otot,2
leher kaku,4
pembengkakan_sendi,5
gerakan_kekakuan,5
gerakan_berputar,6
kehilangan_keseimbangan_,4
kegoyangan,4
kelemahan_sisi_satu_tubuh_,4
kehilangan_bau_,3
kandung kemih_ketidaknyamanan,4
busuk_bau_ofurine,5
rasa_air_urin yang terus-menerus,6
bagian_of_gas,5
internal_gatal,4
tampilan_toksik_(kesalahan ketik),5
depresi,3
sifat lekas marah,2
nyeri otot,2
diubah_sensorium,2
bintik_merah_di atas_tubuh,3
sakit perut,4
abnormal_menstruasi,6
dischromic_patches,6
penyiraman_dari_mata,4
peningkatan_nafsu makan,5
poliuria,4
sejarah keluarga,5
mukoid_dahak,4
berkarat_dahak,4
kurang konsenterasi,3
gangguan_visual,3
menerima_transfusi_darah,5
menerima_suntikan_tidak steril,2
koma,7
perut_pendarahan,6
distensi_perut_,4
riwayat_konsumsi_alkohol,5
kelebihan cairan,4
darah_dalam_dahak,5
vena_menonjol_di_betis,6
jantung berdebar,4
menyakitkan_berjalan,2
pus_filled_jerawat,2
komedo,2
berlarian,2
pengelupasan kulit,3
debu_seperti_perak,2
penyok_kecil_di_kuku,2
kuku_inflamasi,2
lepuh,4
red_sore_around_nose,2
kuning_kerak_ooze,3
prognosa,5
